date,'3m',abbott_laboratories,abbvie,abiomed,accenture,activision_blizzard,adobe,advanced_micro_devices,advance_auto_parts,aes_corp,aflac,agilent_technologies,air_products_and_chemicals,akamai_technologies,alaska_air_group,albemarle_corporation,align_technology,all_egion,all_iant_energy,all_state_corp,alphabet_class_c,altria_group,amazon,amcor,american_airlines_group,american_electric_power,american_express,american_international_group,american_tower,american_water_works,ameriprise_financial,amerisourcebergen,ametek,amgen,amphenol,analog_devices,ansys,anthem,aon,a_o_smith,apple,applied_materials,aptiv,adm,arista_networks,assurant,atandt,atmos_energy,autodesk,automatic_data_processing,autozone,avalonbay_communities,avery_dennison,baker_hughes,ball__corp,bank_of_america,baxter_international,becton_dickinson,berkshire_hathaway,best_buy,bio_rad_laboratories,biogen,blackrock,bny_mellon,boeing,booking_holdings,borgwarner,boston_properties,boston_scientific,bristol_myers_squibb,broadcom,broadridge_financial_solutions,brown_and_brown,cadence_design_systems,caesars_entertainment,campbell_soup,capital_one_financial,cardinal_health,carmax,carnival_corporation,carrier_global,catalent,caterpillar,cbre,cdw,celanese,centene_corporation,centerpoint_energy,ceridian,cerner,cf_industries,charles_river_laboratories,charter_communications,chevron_corporation,chipotle_mexican_grill,chubb,church_and_dwight,cigna,cincinnati_financial,cisco_systems,citigroup,citizens_financial_group,citrix_systems,clorox,cme_group,cms_energy,coca_cola_company,cognizant_technology_solutions,colgate_palmolive,comcast,comerica,conagra_brands,conocophillips,consolidated_edison,constellation_brands,the_cooper_companies,copart,corning,corteva,costco,crown_castle,csx,cummins,cvs_health,danaher_corporation,darden_restaurants,davita,delta_air_lines,dentsply_sirona,devon_energy,dexcom,diamondback_energy,digital_realty_trust,discover_financial_services,discovery_series_a,dish_network,dollar_general,dollar_tree,dominion_energy,dominos_pizza,dover_corporation,dow,dte_energy,duke_energy,dupont,dxc_technology,eastman_chemical,eaton_corporation,ebay,ecolab,edison_international,edwards_lifesciences,electronic_arts,enphase_energy,entergy,eog_resources,equifax,equinix,equity_residential,essex_property_trust,estée_lauder_companies,etsy,evergy,eversource_energy,everest_re,exelon,expedia_group,expeditors,extra_space_storage,exxonmobil,f5_networks,facebook,fastenal,federal_realty_investment_trust,fedex,fidelity_national_information_services,fifth_third_bancorp,firstenergy,first_republic_bank,fiserv,fleetcor,fmc_corporation,ford,fortinet,fortive,franklin_resources,freeport_mcmoran,gap,garmin,gartner,general_dynamics,general_electric,general_mills,general_motors,genuine_parts,gilead_sciences,globe_life,global_payments,goldman_sachs,hall_iburton,hanesbrands,the_hartford,hasbro,hca_healthcare,henry_schein,the_hershey_company,hess_corporation,hewlett_packard_enterprise,hilton_worldwide,hologic,home_depot,honeywell,hormel,howmet_aerospace,hp,humana,huntington_bancshares,huntington_ingall_s_industries,idex_corporation,idexx_laboratories,ihs_markit,illinois_tool_works,illumina,incyte,ingersoll_rand,intel,intercontinental_exchange,ibm,international_paper,interpublic_group,international_flavors_and_fragrances,intuit,intuitive_surgical,invesco,ipg_photonics,iqvia,iron_mountain,jacobs_engineering_group,j_b_hunt,jm_smucker,johnson_and_johnson,johnson_controls,jpmorgan_chase,juniper_networks,kansas_city_southern,kelloggs,keycorp,keysight_technologies,kimberly_clark,kimco_realty,kinder_morgan,kla_corporation,kraft_heinz,kroger,l3harris_technologies,labcorp,lam_research,lamb_weston,las_vegas_sands,leggett_and_platt,leidos,lennar,eli_lilly_and_co,lincoln_national,linde,live_nation_entertainment,lkq_corporation,lockheed_martin,loews_corporation,lowes,lumen_technologies,lyondellbasell,mandt_bank,marathon_oil,marathon_petroleum,marketaxess,marriott_international,marsh_and_mclennan,martin_marietta_materials,masco,mastercard,match_group,mccormick_and_company,mcdonalds,mckesson_corporation,medtronic,merck_and_co,metlife,mettler_toledo,mgm_resorts_international,microchip_technology,micron_technology,microsoft,moderna,mohawk_industries,mondelez_international,monolithic_power_systems,monster_beverage,moodys_corporation,morgan_stanley,motorola_solutions,msci,nasdaq,netapp,netflix,newell_brands,newmont,nextera_energy,nielsen_holdings,nike,nisource,norfolk_southern,northern_trust,northrop_grumman,nortonlifelock,norwegian_cruise_line_holdings,nrg_energy,nucor,nvidia,nvr,nxp,oreilly_automotive,occidental_petroleum,old_dominion_freight_line,omnicom_group,oneok,oracle,otis_worldwide,paccar,packaging_corporation_of_america,paychex,paycom,paypal,penn_national_gaming,pentair,peoples_united_financial,pepsico,perkinelmer,pfizer,philip_morris_international,phillips_66,pioneer_natural_resources,pnc_financial_services,pool_corporation,ppg_industries,ppl,principal_financial_group,procter_and_gamble,progressive_corporation,prologis,prudential_financial,ptc,public_service_enterprise_group,public_storage,pultegroup,pvh,qorvo,quanta_services,qualcomm,quest_diagnostics,ralph_lauren_corporation,raymond_james_financial,raytheon_technologies,realty_income_corporation,regency_centers,regeneron_pharmaceuticals,regions_financial_corporation,republic_services,resmed,robert_half_international,rockwell_automation,rollins,roper_technologies,ross_stores,royal_caribbean_group,sandp_global,salesforce,sba_communications,schlumberger,seagate_technology,sealed_air,sempra_energy,servicenow,sherwin_williams,simon_property_group,skyworks_solutions,snap_on,southern_company,southwest_airlines,stanley_black_and_decker,starbucks,state_street_corporation,steris,stryker_corporation,svb_financial,synchrony_financial,synopsys,sysco,t_mobile_us,t_rowe_price,take_two_interactive,tapestry,target_corporation,te_connectivity,teledyne_technologies,teleflex,teradyne,tesla,texas_instruments,textron,thermo_fisher_scientific,tjx_companies,tractor_supply_company,trane_technologies,transdigm_group,the_travelers_companies,trimble,truist_financial,twitter,tyler_technologies,tyson_foods,udr,ulta_beauty,us_bancorp,union_pacific,united_airlines,unitedhealth_group,united_parcel_service,united_rentals,universal_health_services,valero_energy,ventas,verisign,verisk_analytics,verizon_communications,vertex_pharmaceuticals,vf_corporation,viacomcbs,viatris,visa,vornado_realty_trust,vulcan_materials,wabtec,walmart,walgreens_boots_all_iance,the_walt_disney_company,waste_management,waters_corporation,wec_energy_group,wells_fargo,welltower,west_pharmaceutical_services,western_digital,western_union,westrock,weyerhaeuser,whirlpool_corporation,williams_companies,willis_towers_watson,wynn_resorts,xcel_energy,xilinx,xylem,zebra_technologies,zimmer_biomet,zoetis
2017-07-09,0,0,0,0,23,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,83,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,26,0,0,15,0,0,9,0,0,0,9,0,0,38,0,25,0,0,14,14,0,0,18,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,27,0,0,0,8,9,0,0,0,0,0,41,0,0,0,0,0,8,0,70,0,0,28,0,0,0,0,0,0,0,0,19,83,0,0,0,0,0,0,0,0,34,0,16,9,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,14,0,6,0,13,6,0,0,0,58,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,39,0,49,0,0,10,0,0,35,0,0,0,0,28,0,0,0,0,34,7,0,0,6,0,5,0,0,0,32,24,28,0,0,17,0,0,0,0,0,0,0,25,36,0,0,87,10,0,0,0,0,18,0,0,0,33,18,0,26,0,0,0,22,0,0,0,0,0,0,0,0,1,19,0,0,0,28,0,0,0,0,0,0,8,32,0,0,39,0,0,0,0,0,0,0,44,70,0,37,0,36,0,0,34,0,0,0,0,0,0,0,18,0,0,26,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,8,18,0,30,0,0,0,0,14,0,24,15,20,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,28,0,0,0,100,0,0,0,14,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,0,18,9,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,47,0,0,0,0,0,0,23,0,38,0,20,0,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,0,18,0,0,0,26,0,0,35,0,0,13,0,0,41,30,0,0,0,0,0,0,0,0,0,29,65,0
2017-07-16,4,0,0,0,23,0,33,45,27,0,0,0,0,0,0,0,49,0,0,0,0,0,23,35,0,0,27,0,0,0,0,0,0,33,0,74,0,3,27,0,27,0,0,30,30,0,16,0,37,0,9,0,0,0,72,70,0,43,7,11,0,7,24,33,3,0,0,0,0,0,0,0,71,0,0,28,0,54,27,0,0,0,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,58,0,0,0,0,0,0,0,0,20,0,0,0,0,15,0,0,51,0,16,0,32,18,0,0,0,0,0,0,25,22,0,0,0,0,18,27,18,12,29,0,4,0,27,6,24,0,0,73,0,0,0,22,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,0,44,63,82,13,0,0,36,0,0,0,0,26,58,0,0,0,23,7,29,0,12,36,14,0,9,0,32,24,0,0,0,17,0,0,0,0,0,0,0,41,12,0,0,77,51,0,0,0,0,19,0,24,0,34,23,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,3,13,0,14,39,0,0,0,0,23,0,0,11,0,0,28,0,12,0,0,0,0,0,0,0,0,0,0,24,0,0,47,0,46,0,31,0,0,0,0,15,0,0,71,0,0,0,0,0,0,11,34,34,0,0,16,0,17,0,50,0,0,0,0,0,0,21,0,17,0,0,0,0,0,20,0,0,0,0,0,29,0,0,0,42,0,1,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,40,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,27,24,24,0,0,0,0,0,0,0,0,33,0,0,0,0,0,52,1,0,0,0,0,0,32,0,0,0,0,0,0,0,14,0,0,0,34,0,0,12,0,0,22,0,0,41,10,0,0,0,0,27,0,0,0,0,0,67,0
2017-07-23,8,12,16,0,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,17,0,42,0,0,0,0,16,0,0,0,7,0,0,28,0,0,29,0,0,9,0,0,0,0,0,0,0,0,31,0,0,7,19,0,33,6,0,6,0,0,0,0,0,17,0,0,0,36,27,0,0,0,0,0,0,46,9,0,65,0,0,0,20,0,0,22,0,0,0,0,17,0,0,28,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,11,35,46,36,0,0,0,0,1,0,0,21,0,0,0,0,17,13,34,0,14,0,6,0,13,4,0,0,0,40,34,0,33,0,0,12,0,2,0,0,0,0,9,0,42,0,0,0,0,0,0,0,45,0,0,6,0,0,0,0,0,0,0,26,0,0,0,0,66,0,42,25,12,52,14,0,0,0,0,29,14,0,0,16,0,0,0,0,0,0,0,40,36,0,0,61,20,0,0,0,0,0,0,0,0,0,21,0,27,0,0,0,22,0,0,0,0,0,0,0,0,0,37,21,25,0,0,0,0,0,0,11,0,3,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,34,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,14,0,15,17,0,35,0,44,15,0,16,0,0,0,0,0,0,0,0,17,0,8,0,0,0,0,0,25,0,68,0,0,0,17,0,0,0,34,0,1,28,0,0,0,0,0,0,0,0,0,0,26,10,0,0,0,0,0,0,12,32,0,0,0,0,0,0,0,0,36,0,33,25,0,22,0,36,0,0,40,0,0,0,18,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,46,0,0,0,0,0,0,0,0,0,36,0,0,0,69,0,0,1,0,0,0,28,0,46,0,0,0,0,0,0,0,18,0,0,0,42,0,0,0,0,0,23,0,0,100,10,34,0,0,81,0,0,0,15,0,0,0,65
2017-07-30,4,0,15,0,15,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,16,0,35,0,6,13,0,28,0,0,29,0,0,11,0,0,0,36,0,0,28,0,6,0,0,7,13,0,0,11,0,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,67,0,0,0,43,0,0,8,0,0,0,0,0,0,0,0,0,0,0,34,0,13,40,0,23,0,0,0,0,16,0,33,70,30,9,0,0,0,17,1,61,0,0,0,0,0,0,17,26,17,0,27,0,4,0,0,14,0,0,21,72,0,0,0,0,0,0,0,0,22,0,0,0,9,0,0,0,0,0,0,0,25,0,47,0,0,15,0,0,0,0,0,0,0,23,27,0,0,78,38,5,14,24,6,17,9,0,0,0,0,17,14,0,0,32,0,0,0,0,0,0,0,34,47,0,0,67,19,0,68,0,0,18,0,46,0,0,19,0,27,0,0,0,0,0,22,0,0,59,67,0,0,1,0,21,24,0,27,0,0,0,0,0,0,5,25,0,13,0,66,0,0,0,22,0,0,0,0,0,9,0,12,0,38,33,0,0,0,0,0,0,0,12,22,0,49,0,15,0,59,0,0,0,0,9,1,0,68,0,0,0,7,24,0,7,0,33,0,0,0,0,21,0,24,0,0,0,0,0,0,22,16,8,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,63,0,1,0,28,0,56,0,0,0,0,0,0,0,26,10,0,33,0,0,33,0,19,0,0,67,0,0,0,0,0,0,0,0,0,30,0,0,0,0,27,0,20,0,37,0,18,72,0,63,0,38,5,0,12,0,69,0,0,0,35,0,0,0,0,0,0,0,0,0,0,41,23,23,0,0,0,0,0,0,23,0,35,0,0,0,0,0,25,1,0,0,0,0,0,38,0,0,7,0,0,0,0,22,0,0,0,24,0,0,0,0,0,23,0,0,20,39,34,0,0,0,0,0,0,0,0,0,0,0
2017-08-06,11,0,0,0,15,11,32,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,35,0,48,0,0,0,7,13,0,22,0,0,15,0,0,8,0,0,0,9,0,0,9,0,43,0,0,14,16,0,7,12,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,39,0,0,15,9,0,66,0,0,68,0,0,0,0,0,0,8,0,0,0,0,28,0,0,18,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,16,0,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,2,47,0,0,69,0,0,0,22,18,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,25,0,46,0,0,25,0,0,0,0,0,0,0,29,28,0,0,0,44,6,14,25,6,0,0,0,0,0,31,35,0,0,0,33,41,0,0,0,0,0,0,40,24,0,0,67,49,0,0,0,0,0,0,0,0,0,20,0,32,30,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,5,6,0,13,38,0,0,0,31,0,0,0,11,69,0,18,0,24,0,0,0,0,0,0,0,0,0,0,12,0,0,28,0,15,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,28,33,44,0,0,0,0,16,0,24,0,0,0,0,0,0,39,0,8,0,0,0,0,0,20,0,0,0,0,0,31,0,0,0,54,0,1,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,12,32,0,0,0,0,0,0,0,0,0,0,33,31,0,0,0,0,5,0,0,0,38,0,0,0,0,0,0,39,1,0,24,67,0,0,0,0,0,0,0,68,0,0,0,34,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,0,0,22,0,0,0,35,0,0,12,0,0,31,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-13,7,12,15,0,7,0,6,0,25,0,0,0,0,0,0,0,0,51,0,0,0,0,20,0,0,0,0,0,0,0,0,0,67,16,0,0,0,12,13,0,30,0,0,14,0,0,6,0,0,0,9,0,0,0,0,36,0,0,13,16,0,0,23,31,5,0,0,68,18,29,8,0,0,0,35,0,0,26,0,0,0,0,0,8,0,0,0,0,0,0,0,0,43,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,25,0,0,11,0,61,18,0,0,0,0,0,0,23,0,0,0,0,0,0,13,0,0,14,0,5,100,0,8,0,0,0,53,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,67,0,0,0,25,0,46,0,0,6,0,0,0,0,21,0,0,27,0,0,0,0,22,11,14,24,0,17,14,0,8,0,0,6,14,62,0,48,0,0,0,69,0,0,0,34,24,0,0,61,48,0,0,0,0,18,0,0,0,0,25,0,11,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,75,11,0,5,25,0,0,37,0,0,0,0,0,0,0,0,0,0,9,0,23,0,38,0,33,0,0,0,0,0,0,0,0,0,37,67,15,0,15,0,0,0,21,16,1,0,0,0,0,0,7,0,7,7,64,33,37,0,0,0,16,0,24,14,0,0,0,0,34,33,0,0,0,0,0,0,0,19,0,0,0,0,0,27,0,0,0,83,68,2,0,0,0,0,0,0,39,0,45,0,0,0,10,0,0,0,26,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,34,0,0,0,0,0,0,4,67,0,0,0,25,0,23,0,0,0,0,0,0,0,0,40,38,20,0,0,0,0,1,0,34,0,0,0,53,0,0,7,0,0,0,0,16,0,0,0,34,49,0,11,0,0,31,0,0,59,39,0,0,0,0,26,0,0,0,0,0,0,0
2017-08-20,7,12,0,0,14,10,37,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,20,33,0,0,17,0,0,0,0,0,0,15,0,0,0,16,49,0,27,0,0,14,28,0,7,0,0,0,17,0,0,0,67,24,0,40,0,23,0,6,11,0,3,0,0,0,0,29,8,0,33,0,0,26,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,0,0,0,0,0,0,16,0,30,34,30,26,0,0,0,16,0,0,0,0,0,0,0,0,33,13,0,0,13,0,5,0,12,2,0,0,0,61,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,45,0,0,6,0,0,0,0,0,62,0,25,0,0,0,0,37,2,13,0,33,0,4,0,0,0,0,22,13,0,0,0,0,0,0,0,37,0,0,48,23,33,0,61,38,0,0,0,0,0,0,0,0,0,29,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,32,0,0,0,0,0,31,0,0,17,0,11,0,0,0,0,0,0,0,0,0,53,17,0,0,49,0,0,0,14,0,0,0,0,17,4,0,0,0,0,0,7,0,7,10,0,39,0,0,0,0,16,39,0,56,19,0,0,0,0,28,0,8,0,0,0,0,0,8,0,65,0,0,0,30,0,0,0,49,0,2,0,14,0,0,0,0,19,0,22,0,0,25,0,0,32,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,18,0,22,0,0,17,0,0,42,0,36,0,0,19,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,44,0,0,0,0,0,0,0,0,32,0,0,0,33,0,24,1,0,0,0,0,0,51,0,0,7,0,0,0,0,25,0,0,0,29,0,0,11,0,0,15,0,0,19,19,0,60,0,0,0,0,33,0,0,0,0,0
2017-08-27,14,11,29,0,7,10,18,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,19,0,0,0,24,0,0,60,0,0,0,15,0,0,0,12,0,0,30,0,0,14,0,0,8,0,0,0,17,0,0,0,0,29,0,0,6,23,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,41,0,14,8,0,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,17,0,29,25,0,0,0,32,0,0,0,0,0,0,0,0,0,0,16,0,13,0,3,0,0,8,22,0,0,71,0,0,0,0,0,11,0,0,21,0,0,0,9,0,0,0,32,0,0,66,24,32,40,57,0,15,0,0,0,0,0,60,0,21,0,0,0,0,52,12,26,0,16,32,13,0,0,0,0,11,13,0,0,92,0,0,0,0,0,0,0,9,56,32,0,58,9,0,0,0,0,0,0,22,0,0,29,0,34,28,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,26,0,0,0,0,10,0,0,17,0,0,0,0,0,0,29,0,0,0,10,0,0,25,0,17,0,0,0,0,13,0,0,0,0,0,5,21,0,36,0,0,0,28,0,0,0,0,15,3,0,0,0,0,0,13,0,0,10,0,28,0,0,0,0,14,0,22,28,19,0,0,0,32,17,0,24,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,60,0,1,0,27,60,0,0,0,18,0,0,0,0,0,19,0,63,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,36,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,38,0,19,0,0,0,23,1,0,0,0,0,0,43,62,0,0,0,25,0,0,17,0,0,0,36,0,0,21,0,0,29,0,0,37,0,0,0,0,0,0,0,32,0,0,27,60,0
2017-09-03,4,0,15,0,7,10,12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,0,0,33,0,0,0,0,0,0,0,0,0,0,8,37,0,31,0,0,70,0,0,9,0,51,0,35,0,66,0,0,53,0,0,33,10,0,0,17,0,6,0,0,0,0,0,8,0,33,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,22,0,14,0,0,0,0,11,0,30,17,0,0,0,49,0,0,23,0,0,0,0,0,0,0,0,0,40,0,3,0,0,6,22,0,0,75,0,0,0,0,0,0,0,48,0,0,0,0,9,0,0,0,32,0,0,0,12,0,40,58,0,18,0,0,0,0,0,0,0,19,0,0,0,0,26,5,13,0,11,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,43,23,33,0,61,66,0,0,0,0,0,0,0,0,0,23,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,11,0,2,12,0,26,0,0,0,0,0,22,0,0,0,0,0,9,0,34,0,0,0,0,0,76,0,0,0,0,6,22,0,34,0,0,0,14,0,67,0,0,14,2,0,0,0,0,0,7,0,0,17,0,33,0,0,0,0,19,0,0,14,0,0,0,33,0,16,0,16,0,0,0,0,0,11,0,0,0,0,0,40,0,0,0,75,66,1,0,0,0,0,0,0,19,0,0,0,0,0,10,0,32,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,36,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,100,0,0,31,0,0,0,0,0,0,1,0,33,62,0,0,37,0,0,0,0,0,0,0,23,0,0,0,33,0,0,11,0,0,17,0,0,58,47,0,0,0,0,25,0,0,0,0,28,0,0
2017-09-10,7,0,0,0,29,0,37,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,22,33,0,0,8,0,0,0,0,0,0,31,0,0,0,16,12,0,86,0,0,0,0,0,7,0,34,0,18,0,66,9,0,36,0,0,0,23,0,6,11,0,6,0,0,0,18,0,8,0,33,0,0,0,0,0,51,0,0,0,22,8,0,0,0,0,0,19,0,0,0,0,0,16,0,17,0,0,27,0,0,17,0,0,0,0,0,22,39,0,0,0,0,0,0,32,0,15,0,0,34,0,0,0,17,0,0,0,0,0,0,0,0,0,38,49,0,27,0,2,0,100,14,0,0,0,70,33,0,0,0,0,0,0,100,0,0,0,0,18,0,0,0,0,0,0,0,0,33,41,0,0,12,0,0,0,0,0,0,0,28,27,0,0,0,32,5,27,0,11,17,31,0,0,0,0,22,0,0,0,32,0,42,0,0,37,0,0,24,92,0,0,63,28,0,0,0,0,0,0,45,0,0,18,0,26,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,21,0,0,35,0,17,0,38,0,0,0,0,0,0,0,0,11,0,0,49,0,29,0,29,0,0,0,0,10,2,0,0,0,0,0,7,0,0,10,0,32,0,0,0,0,17,0,0,14,0,0,0,0,0,21,0,8,0,0,0,67,0,5,0,0,0,0,0,23,0,0,0,72,0,1,0,14,0,0,0,0,19,0,0,0,0,0,10,0,0,0,25,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,22,0,0,9,0,0,42,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,72,0,0,0,0,0,0,30,0,0,0,0,0,0,0,18,0,0,0,28,0,0,11,0,0,30,0,0,97,38,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-17,14,0,30,0,7,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0,0,0,0,0,0,0,0,0,15,0,0,0,12,12,0,38,0,0,0,28,0,10,0,0,0,0,0,0,18,0,24,0,40,13,23,0,0,11,60,5,0,0,0,18,0,16,0,0,0,0,26,0,0,0,0,0,0,44,0,0,0,0,0,0,19,0,0,21,0,0,0,0,16,0,0,13,0,0,17,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,41,0,0,0,0,33,13,65,0,13,0,6,0,75,12,0,42,0,84,0,0,0,21,0,0,0,54,0,0,0,0,0,0,0,0,65,0,0,0,12,0,47,0,0,15,0,0,0,0,0,0,0,27,0,0,0,0,53,5,67,0,33,17,4,0,0,0,0,6,13,0,0,47,0,0,0,0,37,0,64,33,34,33,0,58,0,0,0,0,0,0,0,0,0,0,31,0,20,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,24,0,27,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,17,0,37,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,14,0,0,0,21,8,1,0,0,0,0,0,20,0,0,10,62,34,0,21,0,0,10,0,23,0,58,0,0,0,0,30,0,24,0,0,0,0,0,16,0,0,0,0,33,33,0,0,0,62,0,2,0,0,0,0,0,0,38,0,22,0,0,0,20,0,0,0,0,65,0,23,0,0,0,0,0,80,0,0,0,0,100,0,0,0,0,0,0,13,0,0,42,0,0,17,0,0,0,0,37,1,0,10,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,34,0,19,0,0,0,24,1,0,0,0,0,0,22,64,0,0,45,0,0,0,20,0,0,0,21,0,0,0,0,0,12,0,0,0,28,0,0,0,0,25,0,0,15,0,0,0,0
